6 1 1 0 0 5 0 0
8 2 1 2 0 5 4 0
9 3 1 2 3 5 1 4
10 0 0 0 0 0 0 0
2.1 1 1 0 0 7 0 0
3.6 2 1 2 0 5 4  0
4.1 1 2 0 0 6 0 0
4.9 1 2 0 0 1 0 0
5.1 0 0 0 0 0 0 0
1.61 1 1 0 0 4 0 0
2.61 1 1 0 0 1 0 0
3.1 1 1 0 0 5 0 0
3.4 1 2 0 0 4 0 0
3.9 1 2 0 0 7 0 0
4.3 0 0 0 0 0 0 0
1.386 1 1 0 0 4 0 0
1.455 1 1 0 0 4 0 0
2.72 1 1 0 0 1 0 0
3.16 1 2 0 0 4 0 0
3.27 1 2 0 0 4 0 0
3.38 1 2 0 0 6 0 0
3.45 1 1 0 0 5 0 0
3.51 1 2 0 0 7 0 0
3.9 0 0 0 0 0 0 0
4.9 1 1 0 0 5 0 0
5.5 0 0 0 0 0 0 0
6.7 1 1 0 0 5 0 0
7.7 2 2 3 0 3 7 0
8.8 3 4 2 1 7 5 5
9.2 1 4 0 0 2 0 0
10.4 0 0 0 0 0 0 0
10.2 1 1 0 0 5 0 0
12.1 2 1 2 0 5 4 0
12.8 2 1 2 0 5 3 0
13.0 2 1 2 0 5 1 0
13.2 2 1 2 0 5 5 0
13.6 0 0 0 0 0 0 0
